epoch,accuracy,auc,categorical_accuracy,false_negatives,false_positives,loss,precision,recall,top_5_categorical_accuracy,true_negatives,true_positives,val_accuracy,val_auc,val_categorical_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_top_5_categorical_accuracy,val_true_negatives,val_true_positives
0,0.4370711147785187,0.9365186095237732,0.4370711147785187,11967.0,1885.0,1.8917728662490845,0.5349124073982239,0.15337814390659332,0.8593562245368958,690730.0,2168.0,0.41992077231407166,0.9477491974830627,0.41992077231407166,3070.0,371.0,1.8068715333938599,0.5556886196136475,0.13129597902297974,0.8638936281204224,172795.0,464.0
1,0.4761230945587158,0.9461195468902588,0.4761230945587158,11347.0,1787.0,1.715725302696228,0.6093989014625549,0.1972408890724182,0.8749911785125732,690828.0,2788.0,0.4468024969100952,0.9283886551856995,0.4468024969100952,2580.0,1044.0,1.9389845132827759,0.477477490901947,0.2699490785598755,0.8514431118965149,172122.0,954.0
2,0.48935267329216003,0.9503756761550903,0.48935267329216003,11127.0,1708.0,1.6593767404556274,0.6378286480903625,0.21280509233474731,0.8807216286659241,690907.0,3008.0,0.48443689942359924,0.9494344592094421,0.48443689942359924,2986.0,209.0,1.7384339570999146,0.7239101529121399,0.15506508946418762,0.8647425174713135,172957.0,548.0
3,0.5054828524589539,0.9510205984115601,0.5054828524589539,10658.0,1942.0,1.634075403213501,0.6416313052177429,0.24598515033721924,0.8814998269081116,690673.0,3477.0,0.42105263471603394,0.8977434635162354,0.42105263471603394,2235.0,1667.0,2.510310649871826,0.4379635751247406,0.367572158575058,0.8338992595672607,171499.0,1299.0
4,0.5054828524589539,0.9514829516410828,0.5054828524589539,10807.0,1634.0,1.6415739059448242,0.6706972718238831,0.23544393479824066,0.8817120790481567,690981.0,3328.0,0.36304470896720886,0.9401998519897461,0.36304470896720886,3390.0,112.0,1.7993450164794922,0.5625,0.0407470278441906,0.8491793870925903,173054.0,144.0
5,0.5212593078613281,0.9549800157546997,0.5212593078613281,10391.0,1796.0,1.5871741771697998,0.675812304019928,0.2648744285106659,0.8855323791503906,690819.0,3744.0,0.5028296709060669,0.954293966293335,0.5028296709060669,2728.0,384.0,1.6310384273529053,0.6773109436035156,0.22807016968727112,0.8797396421432495,172782.0,806.0
6,0.5252918004989624,0.9562362432479858,0.5252918004989624,10235.0,1810.0,1.5685189962387085,0.6830122470855713,0.2759108543395996,0.8888574242591858,690805.0,3900.0,0.48528578877449036,0.9325114488601685,0.48528578877449036,2866.0,262.0,1.791140079498291,0.7182795405387878,0.18902094662189484,0.8576683402061462,172904.0,668.0
7,0.5339229106903076,0.9571992754936218,0.5339229106903076,10156.0,1812.0,1.5514497756958008,0.6871006488800049,0.28149983286857605,0.8868057727813721,690803.0,3979.0,0.5144312381744385,0.9552369117736816,0.5144312381744385,2657.0,489.0,1.6008601188659668,0.6420205235481262,0.248160719871521,0.8870967626571655,172677.0,877.0
8,0.5477891564369202,0.9582706689834595,0.5477891564369202,9568.0,2106.0,1.5132521390914917,0.6843998432159424,0.32309868931770325,0.8953661322593689,690509.0,4567.0,0.5249009728431702,0.9592077732086182,0.5249009728431702,2570.0,509.0,1.5590788125991821,0.6544467210769653,0.27277871966362,0.8910582661628723,172657.0,964.0
9,0.5596038103103638,0.9598477482795715,0.5596038103103638,9158.0,2389.0,1.482409119606018,0.6756719946861267,0.35210469365119934,0.899044930934906,690226.0,4977.0,0.4666100740432739,0.9463157057762146,0.4666100740432739,2355.0,1219.0,1.6915427446365356,0.4916597306728363,0.3336162865161896,0.8783248662948608,171947.0,1179.0
10,0.5649805665016174,0.9613781571388245,0.5649805665016174,9073.0,2398.0,1.4694327116012573,0.6785522699356079,0.3581181466579437,0.8981959819793701,690217.0,5062.0,0.5413129329681396,0.9596067070960999,0.5413129329681396,2109.0,727.0,1.5219115018844604,0.6621747016906738,0.4032258093357086,0.8961516618728638,172439.0,1425.0
11,0.5755217671394348,0.9637898802757263,0.5755217671394348,8588.0,2592.0,1.4380995035171509,0.6815333366394043,0.3924301266670227,0.8998938798904419,690023.0,5547.0,0.49094510078430176,0.948557436466217,0.49094510078430176,2501.0,734.0,1.6749951839447021,0.5846067070960999,0.2923033535480499,0.8678551316261292,172432.0,1033.0
12,0.575380265712738,0.9624630808830261,0.575380265712738,8476.0,2642.0,1.4325331449508667,0.6817250847816467,0.40035372972488403,0.900955080986023,689973.0,5659.0,0.5132994055747986,0.9424119591712952,0.5132994055747986,2501.0,486.0,1.711387038230896,0.680052638053894,0.2923033535480499,0.8517261147499084,172680.0,1033.0
13,0.5784223675727844,0.9642413258552551,0.5784223675727844,8306.0,2694.0,1.4140347242355347,0.6839141249656677,0.4123806059360504,0.9042094349861145,689921.0,5829.0,0.5447085499763489,0.9455512762069702,0.5447085499763489,2598.0,425.0,1.6633607149124146,0.6877295970916748,0.26485568284988403,0.8794566988945007,172741.0,936.0
14,0.5767244696617126,0.9628401398658752,0.5767244696617126,8482.0,2639.0,1.4438283443450928,0.6817414164543152,0.3999292552471161,0.8983374834060669,689976.0,5653.0,0.4289756715297699,0.9070842266082764,0.4289756715297699,2144.0,1794.0,2.255260944366455,0.436557799577713,0.39332202076911926,0.8353140950202942,171372.0,1390.0
15,0.5806862115859985,0.9647717475891113,0.5806862115859985,8339.0,2588.0,1.4128856658935547,0.6913167834281921,0.4100459814071655,0.9019455313682556,690027.0,5796.0,0.4912280738353729,0.9318205118179321,0.4912280738353729,2098.0,1220.0,1.8918336629867554,0.5406626462936401,0.4063384234905243,0.8681380748748779,171946.0,1436.0
