epoch,accuracy,auc,categorical_accuracy,false_negatives,false_positives,loss,precision,recall,top_5_categorical_accuracy,true_negatives,true_positives,val_accuracy,val_auc,val_categorical_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_top_5_categorical_accuracy,val_true_negatives,val_true_positives
0,0.3235105574131012,0.9042141437530518,0.3235105574131012,50345.0,4081.0,2.434242010116577,0.6449142694473267,0.1283307671546936,0.6714337468147278,2826012.0,7412.0,0.41890743374824524,0.9168609380722046,0.41890743374824524,2564.0,912.0,2.243556261062622,0.5151515007019043,0.274271160364151,0.7919614911079407,172205.0,969.0
1,0.5939539670944214,0.9696276783943176,0.5939539670944214,32225.0,7147.0,1.361845850944519,0.7812968492507935,0.4420589804649353,0.8912686109542847,2822946.0,25532.0,0.5751485824584961,0.9651393890380859,0.5751485824584961,2006.0,772.0,1.3667247295379639,0.6642018556594849,0.4322105944156647,0.9317860007286072,172345.0,1527.0
2,0.7233582139015198,0.9852852821350098,0.7233582139015198,21613.0,6846.0,0.8964299559593201,0.8407536745071411,0.6257942914962769,0.9475561380386353,2823247.0,36144.0,0.5822247266769409,0.9760028719902039,0.5822247266769409,2009.0,694.0,1.2473573684692383,0.6871054768562317,0.43136143684387207,0.9405604004859924,172423.0,1524.0
3,0.7862077355384827,0.9911303520202637,0.7862077355384827,16386.0,6326.0,0.6688245534896851,0.867371141910553,0.7162941098213196,0.9713454842567444,2823767.0,41371.0,0.6348711848258972,0.9823719263076782,0.6348711848258972,1776.0,623.0,1.083559274673462,0.7382352948188782,0.4973110556602478,0.9626379609107971,172494.0,1757.0
4,0.8264279365539551,0.9942938089370728,0.8264279365539551,13032.0,5772.0,0.5241335034370422,0.8856961727142334,0.7743650078773499,0.9837595224380493,2824321.0,44725.0,0.5881686806678772,0.9761576056480408,0.5881686806678772,1747.0,977.0,1.1561928987503052,0.6463988423347473,0.5055193901062012,0.9643362760543823,172140.0,1786.0
5,0.8532125949859619,0.9956737756729126,0.8532125949859619,10811.0,5209.0,0.4393981397151947,0.9001246094703674,0.812819242477417,0.988953709602356,2824884.0,46946.0,0.6665723323822021,0.978846549987793,0.6665723323822021,1377.0,906.0,0.9851205348968506,0.7041149735450745,0.6102462410926819,0.9773563742637634,172211.0,2156.0
6,0.8732448220252991,0.996705174446106,0.8732448220252991,9183.0,4837.0,0.3718169033527374,0.9094381332397461,0.8410062789916992,0.9930051565170288,2825256.0,48574.0,0.6628926992416382,0.9828358888626099,0.6628926992416382,1493.0,742.0,0.9769558906555176,0.7332854270935059,0.5774129629135132,0.9750919938087463,172375.0,2040.0
7,0.8892255425453186,0.997439980506897,0.8892255425453186,7849.0,4426.0,0.3177878260612488,0.918540894985199,0.8641030788421631,0.9953425526618958,2825667.0,49908.0,0.6711010336875916,0.9801334142684937,0.6711010336875916,1374.0,815.0,1.0048600435256958,0.7259582877159119,0.6110953688621521,0.9765072464942932,172302.0,2159.0
8,0.8998562693595886,0.9977160096168518,0.8998562693595886,7066.0,4119.0,0.28351524472236633,0.9248494505882263,0.8776598572731018,0.9964852929115295,2825974.0,50691.0,0.6529861092567444,0.9810208082199097,0.6529861092567444,1508.0,855.0,1.0077072381973267,0.703125,0.5731672644615173,0.9849985837936401,172262.0,2025.0
9,0.9123049974441528,0.9982830882072449,0.9123049974441528,6105.0,3751.0,0.2472384124994278,0.932296097278595,0.8942985534667969,0.9976799488067627,2826342.0,51652.0,0.6297764182090759,0.971069872379303,0.6297764182090759,1401.0,1127.0,1.1871159076690674,0.6541883945465088,0.6034531593322754,0.9807528853416443,171990.0,2132.0
10,0.920581042766571,0.9984439015388489,0.920581042766571,5488.0,3449.0,0.22352132201194763,0.9380990266799927,0.9049811959266663,0.998303234577179,2826644.0,52269.0,0.712425708770752,0.9848966598510742,0.712425708770752,1131.0,845.0,0.8521214127540588,0.7397598028182983,0.6798754334449768,0.989244282245636,172272.0,2402.0
11,0.9272815585136414,0.9986958503723145,0.9272815585136414,4918.0,3246.0,0.20127157866954803,0.9421235918998718,0.9148501753807068,0.9988918900489807,2826847.0,52839.0,0.731106698513031,0.9838277697563171,0.731106698513031,1029.0,827.0,0.8021048903465271,0.7517262101173401,0.7087461352348328,0.9909425377845764,172290.0,2504.0
12,0.9345187544822693,0.9989721179008484,0.9345187544822693,4449.0,2979.0,0.18238121271133423,0.947074830532074,0.9229703545570374,0.9992208480834961,2827114.0,53308.0,0.7141239643096924,0.9856446385383606,0.7141239643096924,1155.0,767.0,0.8074823617935181,0.7561208009719849,0.6730823516845703,0.9906594753265381,172350.0,2378.0
