epoch,accuracy,auc_1,categorical_accuracy,false_negatives_1,false_positives_1,loss,precision_1,recall_1,top_5_categorical_accuracy,true_negatives_1,true_positives_1,val_accuracy,val_auc_1,val_categorical_accuracy,val_false_negatives_1,val_false_positives_1,val_loss,val_precision_1,val_recall_1,val_top_5_categorical_accuracy,val_true_negatives_1,val_true_positives_1
0,0.7471994757652283,0.9863957762718201,0.7471994757652283,23098.0,3747.0,0.9491357207298279,0.9024370908737183,0.6000831127166748,0.9330124258995056,2826346.0,34659.0,0.6855363845825195,0.9877086281776428,0.6855363845825195,1385.0,762.0,0.8943092226982117,0.7381443381309509,0.6079818606376648,0.9830172657966614,172355.0,2148.0
1,0.8698685765266418,0.996781587600708,0.8698685765266418,10779.0,4021.0,0.4303772747516632,0.9211553335189819,0.8133732676506042,0.9895597100257874,2826072.0,46978.0,0.6861024498939514,0.9882754683494568,0.6861024498939514,1355.0,731.0,0.878808856010437,0.7487108707427979,0.6164732575416565,0.9847155213356018,172386.0,2178.0
2,0.8942985534667969,0.9977013468742371,0.8942985534667969,8253.0,3735.0,0.33600926399230957,0.9298446774482727,0.8571082353591919,0.9945980310440063,2826358.0,49504.0,0.6928955316543579,0.988640546798706,0.6928955316543579,1337.0,724.0,0.8443934917449951,0.7520548105239868,0.6215680837631226,0.9875459671020508,172393.0,2196.0
3,0.9070415496826172,0.9983778595924377,0.9070415496826172,7102.0,3503.0,0.28787922859191895,0.9353188872337341,0.8770365715026855,0.9962601661682129,2826590.0,50655.0,0.713840901851654,0.9885238409042358,0.713840901851654,1245.0,711.0,0.8194418549537659,0.7629209756851196,0.6476082801818848,0.9866968393325806,172406.0,2288.0
4,0.9179320335388184,0.9985644221305847,0.9179320335388184,6200.0,3235.0,0.25369107723236084,0.940958559513092,0.8926537036895752,0.9972817301750183,2826858.0,51557.0,0.7118595838546753,0.9887101054191589,0.7118595838546753,1199.0,746.0,0.8064876198768616,0.7577922344207764,0.6606283783912659,0.989244282245636,172371.0,2334.0
5,0.923264741897583,0.998794674873352,0.923264741897583,5652.0,3099.0,0.22984133660793304,0.9438627362251282,0.9021417498588562,0.9979742765426636,2826994.0,52105.0,0.712425708770752,0.9880947470664978,0.712425708770752,1193.0,734.0,0.8204571604728699,0.7612231373786926,0.6623266339302063,0.9900934100151062,172383.0,2340.0
6,0.9284762144088745,0.9989929795265198,0.9284762144088745,5180.0,3000.0,0.21308714151382446,0.9460208415985107,0.9103139042854309,0.998303234577179,2827093.0,52577.0,0.731106698513031,0.9865186214447021,0.731106698513031,1070.0,778.0,0.7901179790496826,0.7599506378173828,0.6971412301063538,0.9898103475570679,172339.0,2463.0
7,0.9305711984634399,0.9990603923797607,0.9305711984634399,4989.0,2909.0,0.20033611357212067,0.9477522373199463,0.9136208891868591,0.9986841678619385,2827184.0,52768.0,0.7107274532318115,0.9871276617050171,0.7107274532318115,1182.0,804.0,0.8137456774711609,0.7451664209365845,0.6654401421546936,0.9906594753265381,172313.0,2351.0
8,0.935038149356842,0.9991614818572998,0.935038149356842,4689.0,2786.0,0.18904729187488556,0.9501199722290039,0.918815016746521,0.9988572597503662,2827307.0,53068.0,0.70308518409729,0.9849865436553955,0.70308518409729,1200.0,857.0,0.8717901706695557,0.7313479781150818,0.6603453159332275,0.9903764724731445,172260.0,2333.0
9,0.937929630279541,0.999174952507019,0.937929630279541,4397.0,2699.0,0.17874407768249512,0.9518542885780334,0.9238706827163696,0.9990304112434387,2827394.0,53360.0,0.7039343118667603,0.9862133860588074,0.7039343118667603,1177.0,799.0,0.825931966304779,0.7467511892318726,0.6668553352355957,0.9926407933235168,172318.0,2356.0
10,0.9412192702293396,0.9992684721946716,0.9412192702293396,4120.0,2583.0,0.1700575053691864,0.9540554881095886,0.9286666512489319,0.9990823864936829,2827510.0,53637.0,0.7141239643096924,0.9855856895446777,0.7141239643096924,1122.0,803.0,0.8212963342666626,0.7501555681228638,0.6824228763580322,0.9917916655540466,172314.0,2411.0
11,0.9427255392074585,0.9993630647659302,0.9427255392074585,3972.0,2533.0,0.16264678537845612,0.9550232887268066,0.9312291145324707,0.9993420839309692,2827560.0,53785.0,0.7212001085281372,0.9863584637641907,0.7212001085281372,1098.0,774.0,0.817827582359314,0.7588033676147461,0.6892159581184387,0.9929238557815552,172343.0,2435.0
