epoch,accuracy,loss,val_accuracy,val_loss
0,0.5269841551780701,60.11268997192383,0.45584726333618164,0.6969512701034546
1,0.6835978627204895,0.5901458263397217,0.7804296016693115,0.4707697629928589
2,0.8296296000480652,0.397686243057251,0.8472553491592407,0.32589924335479736
3,0.8677248954772949,0.34662479162216187,0.8544152975082397,0.4536590278148651
4,0.8833333253860474,0.30773070454597473,0.8926014304161072,0.2603182792663574
5,0.912169337272644,0.23479722440242767,0.9140811562538147,0.19223140180110931
6,0.9108465313911438,0.2383880466222763,0.8711217045783997,0.3083849847316742
7,0.9169312119483948,0.22455792129039764,0.921241044998169,0.18373969197273254
8,0.9351851940155029,0.1677517294883728,0.9093078970909119,0.20380467176437378
9,0.9420635104179382,0.15006022155284882,0.9498806595802307,0.12351705133914948
